,Unnamed: 0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2,ident,type,name,elevation_ft,iso_country,iso_region,municipality,iata_code,local_code,coordinates
145,1018054,ASA1786,AS1786,ab9bb6,N847VA,A320,KSEA,KLAX,2019-01-15 20:11:41+00:00,2019-01-15 22:22:25+00:00,2019-01-15 00:00:00+00:00,47.43780103780455,-122.31135441706728,0.0,33.950088500976555,-118.4217990174585,7.62,KLAX,large_airport,Los Angeles International Airport,125.0,US,US-CA,Los Angeles,LAX,LAX,"-118.407997, 33.942501"
147,1018126,ASA1911,AS1911,a69d5d,N525VA,A319,KLAS,KSFO,2019-01-15 20:13:00+00:00,2019-01-15 21:20:06+00:00,2019-01-15 00:00:00+00:00,36.07640153270657,-115.1472960127161,609.6,37.68411254882812,-122.3294327106882,419.1,KSFO,large_airport,San Francisco International Airport,13.0,US,US-CA,San Francisco,SFO,SFO,"-122.375, 37.61899948120117"
150,1018210,ASA572,AS572,a4c6b3,N407AS,B739,KPDX,KSAN,2019-01-15 20:14:16+00:00,2019-01-15 22:27:02+00:00,2019-01-15 00:00:00+00:00,45.58343919657045,-122.56739044189447,0.0,32.72734043961864,-117.16397655253508,76.2,KSAN,large_airport,San Diego International Airport,17.0,US,US-CA,San Diego,SAN,SAN,"-117.190002441, 32.7336006165"
153,1018392,UAL358,UA358,a3cf6d,N34460,B739,KSFO,KLAS,2019-01-15 20:17:05+00:00,2019-01-15 21:27:21+00:00,2019-01-15 00:00:00+00:00,37.606433933064096,-122.3475713315217,304.8,36.07365417480469,-115.1391220092773,594.36,KLAS,large_airport,McCarran International Airport,2181.0,US,US-NV,Las Vegas,LAS,LAS,"-115.1520004, 36.08010101"
155,1018509,AAL2407,AA2407,a35aae,N315PE,B738,KLAS,KORD,2019-01-15 20:19:30+00:00,2019-01-15 23:28:56+00:00,2019-01-15 00:00:00+00:00,36.07640075683594,-115.1351165771484,609.6,41.98393249511719,-87.82114895907318,495.3,KORD,large_airport,Chicago O'Hare International Airport,672.0,US,US-IL,Chicago,ORD,ORD,"-87.9048, 41.9786"
175,1020209,AAL570,AA570,aa234a,N752US,A319,KPHX,KSAT,2019-01-15 20:51:36+00:00,2019-01-15 22:37:23+00:00,2019-01-15 00:00:00+00:00,33.43116372318591,-111.9949091697226,304.8,29.57607980501854,-98.52829877068018,480.06,KSAT,large_airport,San Antonio International Airport,809.0,US,US-TX,San Antonio,SAT,SAT,"-98.469803, 29.533701"
182,1021036,ASA33,AS33,a28de3,N264AK,B739,KBOS,KPDX,2019-01-15 21:06:20+00:00,2019-01-16 02:54:46+00:00,2019-01-16 00:00:00+00:00,42.371753757282846,-71.01466688998909,0.0,45.59742736816406,-122.6273848370808,68.58,KPDX,large_airport,Portland International Airport,31.0,US,US-OR,Portland,PDX,PDX,"-122.5979996, 45.58869934"
192,1022123,UAL1535,UA1535,ab1b3e,N81449,B739,KPHL,KDEN,2019-01-15 21:27:12+00:00,2019-01-16 01:06:13+00:00,2019-01-16 00:00:00+00:00,39.85537719726562,-75.302442467731,304.8,39.85084533691406,-104.6602995499321,1584.96,KDEN,large_airport,Denver International Airport,5431.0,US,US-CO,Denver,DEN,DEN,"-104.672996521, 39.861698150635"
195,1022589,AAL2532,AA2532,a09188,N136AN,A321,KLAX,KDCA,2019-01-15 21:36:35+00:00,2019-01-16 02:01:20+00:00,2019-01-16 00:00:00+00:00,33.94015502929688,-118.37561159717792,304.8,38.81629943847656,-77.03440127165419,91.44,KDCA,large_airport,Ronald Reagan Washington National Airport,15.0,US,US-DC,Washington,DCA,DCA,"-77.037697, 38.8521"
196,1022778,UAL2386,UA2386,aaa58b,N78501,B738,KHWO,KORD,2019-01-15 21:40:37+00:00,2019-01-16 00:33:13+00:00,2019-01-16 00:00:00+00:00,26.09669494628906,-80.26025736107016,914.4,41.96580505371094,-87.81883933327411,518.1600000000002,KORD,large_airport,Chicago O'Hare International Airport,672.0,US,US-IL,Chicago,ORD,ORD,"-87.9048, 41.9786"
200,1023256,AAL2716,AA2716,adab31,N980AN,B738,KDFW,KLGA,2019-01-15 21:49:58+00:00,2019-01-16 00:38:59+00:00,2019-01-16 00:00:00+00:00,32.881210327148445,-97.03048095703122,0.0,40.77962067167638,-73.87550354003906,-68.58,KLGA,large_airport,La Guardia Airport,21.0,US,US-NY,New York,LGA,LGA,"-73.872597, 40.777199"
203,1023672,UAL2099,UA2099,a2b8c5,N27477,B739,KSAN,KIAH,2019-01-15 21:58:13+00:00,2019-01-16 00:33:39+00:00,2019-01-16 00:00:00+00:00,32.73688364837129,-117.2033255440848,0.0,30.0073397361626,-95.23547973632812,426.72,KIAH,large_airport,George Bush Intercontinental Houston Airport,97.0,US,US-TX,Houston,IAH,IAH,"-95.34140014648438, 29.984399795532227"
209,1024718,AAL2755,AA2755,acf0da,N933AM,A321,KSEA,KDFW,2019-01-15 22:18:40+00:00,2019-01-16 01:36:44+00:00,2019-01-16 00:00:00+00:00,47.43435617220604,-122.31114314152651,304.8,32.914306640625,-97.05465087890622,83.82000000000002,KDFW,large_airport,Dallas Fort Worth International Airport,607.0,US,US-TX,Dallas-Fort Worth,DFW,DFW,"-97.038002, 32.896801"
215,1025624,AAL1147,AA1147,ab4c15,N827NN,B738,KPHX,KMIA,2019-01-15 22:37:10+00:00,2019-01-16 02:12:14+00:00,2019-01-16 00:00:00+00:00,33.43107061871027,-112.03700474330358,304.8,25.779052734375,-80.26275634765625,45.72,KMIA,large_airport,Miami International Airport,8.0,US,US-FL,Miami,MIA,MIA,"-80.29060363769531, 25.79319953918457"
222,1026598,AAL2735,AA2735,ab44a7,N825NN,B738,KDFW,KSJC,2019-01-15 22:56:40+00:00,2019-01-16 02:25:49+00:00,2019-01-16 00:00:00+00:00,32.885147094726555,-97.05119018554689,0.0,37.37324523925781,-121.9415218272107,83.82000000000002,KSJC,large_airport,Norman Y. Mineta San Jose International Airport,62.0,US,US-CA,San Jose,SJC,SJC,"-121.929001, 37.362598"
231,1027282,ASA1279,AS1279,ab7ba5,N839VA,A320,MMSD,KSFO,2019-01-15 23:09:52+00:00,2019-01-16 01:59:52+00:00,2019-01-16 00:00:00+00:00,23.12403274794756,-109.7176106770833,304.8,37.63236352952861,-122.36375228218408,99.06,KSFO,large_airport,San Francisco International Airport,13.0,US,US-CA,San Francisco,SFO,SFO,"-122.375, 37.61899948120117"
235,1027653,AAL2779,AA2779,ad4c2a,N956NN,B738,KDFW,KSNA,2019-01-15 23:16:33+00:00,2019-01-16 02:10:23+00:00,2019-01-16 00:00:00+00:00,32.88134765625,-97.05130004882812,304.8,33.6848734192929,-117.86304473876947,0.0,KSNA,large_airport,John Wayne Airport-Orange County Airport,56.0,US,US-CA,Santa Ana,SNA,SNA,"-117.8679962, 33.67570114"
246,1028516,AAL302,AA302,a0275c,N109NN,A321,KJFK,KLAX,2019-01-15 23:33:59+00:00,2019-01-16 05:17:44+00:00,2019-01-16 00:00:00+00:00,40.64964294433594,-73.8480224609375,304.8,33.94711303710938,-118.4504979970504,91.44,KLAX,large_airport,Los Angeles International Airport,125.0,US,US-CA,Los Angeles,LAX,LAX,"-118.407997, 33.942501"
252,1028875,AAL1388,AA1388,ad5398,N958NN,B738,KPHX,KJFK,2019-01-15 23:41:33+00:00,2019-01-16 03:50:29+00:00,2019-01-16 00:00:00+00:00,33.431396484375,-112.0373107910156,304.8,40.61659473483845,-73.69959744540131,289.56,KJFK,large_airport,John F Kennedy International Airport,13.0,US,US-NY,New York,JFK,JFK,"-73.7789, 40.639801"
253,1028975,AAL891,AA891,a17527,N193UW,A321,KPHX,KORD,2019-01-15 23:44:06+00:00,2019-01-16 02:36:34+00:00,2019-01-16 00:00:00+00:00,33.43107061871027,-112.03336131816008,304.8,41.98383395954714,-87.79168417287428,647.7,KORD,large_airport,Chicago O'Hare International Airport,672.0,US,US-IL,Chicago,ORD,ORD,"-87.9048, 41.9786"
254,1028985,AAL2798,AA2798,a0d561,N153AN,A321,KORD,KSFO,2019-01-15 23:44:23+00:00,2019-01-16 03:58:18+00:00,2019-01-16 00:00:00+00:00,41.96944931806144,-87.95009169467659,609.6,37.62877900721664,-122.3662003226902,53.34,KSFO,large_airport,San Francisco International Airport,13.0,US,US-CA,San Francisco,SFO,SFO,"-122.375, 37.61899948120117"
260,1029457,AAL541,AA541,aae960,N802AW,A319,KTPA,KDCA,2019-01-15 23:54:58+00:00,2019-01-16 01:45:10+00:00,2019-01-16 00:00:00+00:00,28.002148644398822,-82.54189883961395,304.8,38.82419392213983,-77.03497314453125,53.34,KDCA,large_airport,Ronald Reagan Washington National Airport,15.0,US,US-DC,Washington,DCA,DCA,"-77.037697, 38.8521"
261,1029479,UAL2151,UA2151,a62bdc,N497UA,A320,KEWR,KSEA,2019-01-15 23:55:26+00:00,2019-01-16 05:17:39+00:00,2019-01-16 00:00:00+00:00,40.67185224112818,-74.17831420898438,0.0,47.46043395996094,-122.3179321289062,160.02,KSEA,large_airport,Seattle Tacoma International Airport,433.0,US,US-WA,Seattle,SEA,SEA,"-122.308998, 47.449001"
262,1029481,AAL423,AA423,ab7270,N837AW,A319,KCLT,KPHL,2019-01-15 23:55:34+00:00,2019-01-16 01:03:59+00:00,2019-01-16 00:00:00+00:00,35.25549937102754,-80.92628641331447,609.6,39.88192749023438,-75.18941464631456,91.44,KPHL,large_airport,Philadelphia International Airport,36.0,US,US-PA,Philadelphia,PHL,PHL,"-75.24109649658203, 39.87189865112305"
263,1029526,UAL242,UA242,a146f9,N18112,B752,KSFO,KBOS,2019-01-15 23:56:37+00:00,2019-01-16 04:57:59+00:00,2019-01-16 00:00:00+00:00,37.62123754469015,-122.3754551099694,0.0,42.35050964355469,-70.98597439852631,15.24,KBOS,large_airport,General Edward Lawrence Logan International Airport,20.0,US,US-MA,Boston,BOS,BOS,"-71.00520325, 42.36429977"
264,1029580,AAL606,AA606,a16037,N188US,A321,KCLT,KSMF,2019-01-15 23:57:55+00:00,2019-01-16 05:03:55+00:00,2019-01-16 00:00:00+00:00,35.26112365722656,-80.97101211547852,609.6,38.72181701660156,-121.6008592688519,144.78,KSMF,large_airport,Sacramento International Airport,27.0,US,US-CA,Sacramento,SMF,SMF,"-121.59100341796875, 38.69540023803711"
